Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,class,date,hours,weekday
2015-12-05 00:00:00,1083,3,NB_OS,1,North,40.5,0,,17741,16,1,119,0,2,0,0.0,0,2015-12-05,00:00:00,6
2015-12-05 01:00:00,1083,3,NB_OS,1,North,17.0,0,,18880,0,2,89,0,0,0,0.0,0,2015-12-05,01:00:00,6
2015-12-05 02:00:00,1083,3,NB_OS,1,North,9.0,0,,19336,62,0,60,0,3,1,0.0,0,2015-12-05,02:00:00,6
2015-12-05 03:00:00,1083,3,NB_OS,1,North,7.0,0,,19632,0,0,40,0,0,0,0.0,0,2015-12-05,03:00:00,6
2015-12-05 04:00:00,1083,3,NB_OS,1,North,27.0,0,,18086,0,0,27,0,0,0,0.0,0,2015-12-05,04:00:00,6
2015-12-05 05:00:00,1083,3,NB_OS,1,North,33.0,0,,18485,0,0,33,0,0,0,0.0,0,2015-12-05,05:00:00,6
2015-12-05 06:00:00,1083,3,NB_OS,1,North,78.0,0,,18330,26,0,76,0,2,0,0.0,0,2015-12-05,06:00:00,6
2015-12-05 07:00:00,1083,3,NB_OS,1,North,176.0,0,,17631,40,0,169,0,7,0,0.0,0,2015-12-05,07:00:00,6
2015-12-05 08:00:00,1083,3,NB_OS,1,North,379.0,0,,16555,5,2,375,0,2,0,0.0,0,2015-12-05,08:00:00,6
2015-12-05 09:00:00,1083,3,NB_OS,1,North,457.0,0,,16280,15,5,445,0,7,0,0.0,0,2015-12-05,09:00:00,6
2015-12-05 10:00:00,1083,3,NB_OS,1,North,616.0,0,,16261,11,5,603,1,7,0,0.0,0,2015-12-05,10:00:00,6
2015-12-05 11:00:00,1083,3,NB_OS,1,North,532.0,0,,14708,15,2,790,1,11,1,0.0,0,2015-12-05,11:00:00,6
2015-12-05 12:00:00,1083,3,NB_OS,1,North,583.0,0,,12957,8,5,1012,2,8,0,2.0,0,2015-12-05,12:00:00,6
2015-12-05 13:00:00,1083,3,NB_OS,1,North,553.0,0,,7694,28,4,1000,1,25,4,7.0,0,2015-12-05,13:00:00,6
2015-12-05 14:00:00,1083,3,NB_OS,1,North,539.5,0,,10907,16,1,819,0,9,4,2.0,0,2015-12-05,14:00:00,6
2015-12-05 15:00:00,1083,3,NB_OS,1,North,576.0,0,,15836,14,3,565,0,8,0,0.0,1,2015-12-05,15:00:00,6
2015-12-05 16:00:00,1083,3,NB_OS,1,North,551.0,0,,16508,11,2,543,0,6,0,0.0,0,2015-12-05,16:00:00,6
2015-12-05 17:00:00,1083,3,NB_OS,1,North,396.0,0,,15286,15,1,388,1,6,0,0.0,0,2015-12-05,17:00:00,6
2015-12-05 18:00:00,1083,3,NB_OS,1,North,443.0,0,,16462,14,2,435,0,6,0,0.0,0,2015-12-05,18:00:00,6
2015-12-05 19:00:00,1083,3,NB_OS,1,North,417.0,0,,17526,17,2,408,0,7,0,0.0,0,2015-12-05,19:00:00,6
2015-12-05 20:00:00,1083,3,NB_OS,1,North,226.0,0,,17895,13,1,222,0,3,0,0.0,0,2015-12-05,20:00:00,6
2015-12-05 21:00:00,1083,3,NB_OS,1,North,150.0,0,,18387,20,0,147,0,3,0,0.0,0,2015-12-05,21:00:00,6
2015-12-05 22:00:00,1083,3,NB_OS,1,North,165.0,0,,18527,18,0,162,0,3,0,0.0,0,2015-12-05,22:00:00,6
2015-12-05 23:00:00,1083,3,NB_OS,1,North,125.0,0,,18682,8,0,124,0,1,0,0.0,0,2015-12-05,23:00:00,6
2015-12-19 00:00:00,1083,3,NB_OS,1,North,40.5,0,,18653,0,0,127,0,0,0,0.0,0,2015-12-19,00:00:00,6
2015-12-19 01:00:00,1083,3,NB_OS,1,North,17.0,0,,19377,22,0,88,0,2,0,0.0,0,2015-12-19,01:00:00,6
2015-12-19 02:00:00,1083,3,NB_OS,1,North,9.0,0,,19449,0,0,62,0,0,0,0.0,0,2015-12-19,02:00:00,6
2015-12-19 03:00:00,1083,3,NB_OS,1,North,7.0,0,,19488,0,0,32,0,0,0,0.0,0,2015-12-19,03:00:00,6
2015-12-19 04:00:00,1083,3,NB_OS,1,North,23.0,0,,18635,0,0,23,0,0,0,0.0,0,2015-12-19,04:00:00,6
2015-12-19 05:00:00,1083,3,NB_OS,1,North,29.0,0,,18726,0,0,29,0,0,0,0.0,0,2015-12-19,05:00:00,6
2015-12-19 06:00:00,1083,3,NB_OS,1,North,68.0,0,,17721,29,0,66,0,2,0,0.0,0,2015-12-19,06:00:00,6
2015-12-19 07:00:00,1083,3,NB_OS,1,North,165.0,0,,17961,18,0,162,0,3,0,0.0,0,2015-12-19,07:00:00,6
2015-12-19 08:00:00,1083,3,NB_OS,1,North,335.0,0,,16901,24,1,326,0,8,0,0.0,0,2015-12-19,08:00:00,6
2015-12-19 09:00:00,1083,3,NB_OS,1,North,432.0,0,,16739,12,0,426,1,5,0,0.0,0,2015-12-19,09:00:00,6
2015-12-19 10:00:00,1083,3,NB_OS,1,North,574.0,0,,16315,10,1,566,1,6,0,0.0,0,2015-12-19,10:00:00,6
2015-12-19 11:00:00,1083,3,NB_OS,1,North,674.0,0,,15658,4,5,665,1,3,0,0.0,0,2015-12-19,11:00:00,6
2015-12-19 12:00:00,1083,3,NB_OS,1,North,583.0,0,,13571,11,1,915,2,7,3,0.0,0,2015-12-19,12:00:00,6
2015-12-19 13:00:00,1083,3,NB_OS,1,North,553.0,0,,7420,28,1,999,1,25,4,7.0,0,2015-12-19,13:00:00,6
2015-12-19 14:00:00,1083,3,NB_OS,1,North,539.5,0,,8729,26,7,931,0,21,4,3.0,0,2015-12-19,14:00:00,6
2015-12-19 15:00:00,1083,3,NB_OS,1,North,613.0,0,,15739,10,2,604,1,6,0,0.0,1,2015-12-19,15:00:00,6
2015-12-19 16:00:00,1083,3,NB_OS,1,North,483.0,0,,15951,6,1,479,0,3,0,0.0,0,2015-12-19,16:00:00,6
2015-12-19 17:00:00,1083,3,NB_OS,1,North,384.0,0,,13735,8,0,381,0,3,0,0.0,0,2015-12-19,17:00:00,6
2015-12-19 18:00:00,1083,3,NB_OS,1,North,445.0,0,,16398,9,3,438,0,4,0,0.0,0,2015-12-19,18:00:00,6
2015-12-19 19:00:00,1083,3,NB_OS,1,North,376.0,0,,17193,16,2,368,0,6,0,0.0,0,2015-12-19,19:00:00,6
2015-12-19 20:00:00,1083,3,NB_OS,1,North,270.0,0,,17569,7,0,268,0,2,0,0.0,0,2015-12-19,20:00:00,6
2015-12-19 21:00:00,1083,3,NB_OS,1,North,164.0,0,,18034,6,0,163,0,1,0,0.0,0,2015-12-19,21:00:00,6
2015-12-19 22:00:00,1083,3,NB_OS,1,North,156.0,0,,17685,19,0,153,0,3,0,0.0,0,2015-12-19,22:00:00,6
2015-12-19 23:00:00,1083,3,NB_OS,1,North,117.0,0,,18136,17,0,115,0,2,0,0.0,0,2015-12-19,23:00:00,6
2016-11-19 00:00:00,1083,3,NB_OS,1,North,66.0,0,,18396,30,0,64,0,2,0,0.0,0,2016-11-19,00:00:00,6
2016-11-19 01:00:00,1083,3,NB_OS,1,North,52.0,0,,17586,0,1,51,0,0,0,0.0,0,2016-11-19,01:00:00,6
2016-11-19 02:00:00,1083,3,NB_OS,1,North,28.0,0,,17897,0,1,27,0,0,0,0.0,0,2016-11-19,02:00:00,6
2016-11-19 03:00:00,1083,3,NB_OS,1,North,22.0,0,,18232,45,1,20,0,1,0,0.0,0,2016-11-19,03:00:00,6
2016-11-19 04:00:00,1083,3,NB_OS,1,North,12.0,0,,17616,0,0,12,0,0,0,0.0,0,2016-11-19,04:00:00,6
2016-11-19 05:00:00,1083,3,NB_OS,1,North,39.0,0,,17550,0,2,37,0,0,0,0.0,0,2016-11-19,05:00:00,6
2016-11-19 06:00:00,1083,3,NB_OS,1,North,93.0,0,,18913,32,1,89,0,3,0,0.0,0,2016-11-19,06:00:00,6
2016-11-19 07:00:00,1083,3,NB_OS,1,North,225.0,0,,18258,13,0,222,0,2,1,0.0,0,2016-11-19,07:00:00,6
2016-11-19 08:00:00,1083,3,NB_OS,1,North,399.0,0,,17551,20,0,391,0,8,0,0.0,0,2016-11-19,08:00:00,6
2016-11-19 09:00:00,1083,3,NB_OS,1,North,697.0,0,,16142,17,4,680,0,12,0,1.0,0,2016-11-19,09:00:00,6
2016-11-19 10:00:00,1083,3,NB_OS,1,North,549.0,0,,12553,27,2,987,0,26,2,3.0,0,2016-11-19,10:00:00,6
2016-11-19 11:00:00,1083,3,NB_OS,1,North,509.0,0,,7443,31,6,979,1,31,1,3.0,0,2016-11-19,11:00:00,6
2016-11-19 12:00:00,1083,3,NB_OS,1,North,545.0,0,,13395,21,0,747,2,14,2,1.0,1,2016-11-19,12:00:00,6
2016-11-19 13:00:00,1083,3,NB_OS,1,North,549.0,0,,16617,15,3,538,0,8,0,0.0,0,2016-11-19,13:00:00,6
2016-11-19 14:00:00,1083,3,NB_OS,1,North,410.0,0,,16663,20,3,399,0,8,0,0.0,0,2016-11-19,14:00:00,6
2016-11-19 15:00:00,1083,3,NB_OS,1,North,567.5,0,,9569,41,1,370,0,13,3,0.0,0,2016-11-19,15:00:00,6
2016-11-19 16:00:00,1083,3,NB_OS,1,North,551.0,0,,15893,15,1,542,0,8,0,0.0,0,2016-11-19,16:00:00,6
2016-11-19 17:00:00,1083,3,NB_OS,1,North,496.0,0,,16654,14,0,489,0,7,0,0.0,0,2016-11-19,17:00:00,6
2016-11-19 18:00:00,1083,3,NB_OS,1,North,423.0,0,,17212,9,1,418,0,4,0,0.0,0,2016-11-19,18:00:00,6
2016-11-19 19:00:00,1083,3,NB_OS,1,North,279.0,0,,17584,25,1,271,0,7,0,0.0,0,2016-11-19,19:00:00,6
2016-11-19 20:00:00,1083,3,NB_OS,1,North,227.0,0,,17827,13,1,223,0,3,0,0.0,0,2016-11-19,20:00:00,6
2016-11-19 21:00:00,1083,3,NB_OS,1,North,172.0,0,,18301,6,1,170,0,1,0,0.0,0,2016-11-19,21:00:00,6
2016-11-19 22:00:00,1083,3,NB_OS,1,North,119.0,0,,18434,0,0,119,0,0,0,0.0,0,2016-11-19,22:00:00,6
2016-11-19 23:00:00,1083,3,NB_OS,1,North,103.0,0,,17813,0,0,103,0,0,0,0.0,0,2016-11-19,23:00:00,6
2016-11-27 00:00:00,1083,3,NB_OS,1,North,99.0,0,,18078,0,0,99,0,0,0,0.0,0,2016-11-27,00:00:00,7
2016-11-27 01:00:00,1083,3,NB_OS,1,North,49.0,0,,17988,20,0,48,0,1,0,0.0,0,2016-11-27,01:00:00,7
2016-11-27 02:00:00,1083,3,NB_OS,1,North,45.0,0,,18574,22,0,44,0,1,0,0.0,0,2016-11-27,02:00:00,7
2016-11-27 03:00:00,1083,3,NB_OS,1,North,30.0,0,,19685,33,0,29,0,1,0,0.0,0,2016-11-27,03:00:00,7
2016-11-27 04:00:00,1083,3,NB_OS,1,North,11.0,0,,18933,80,0,23,0,2,0,0.0,0,2016-11-27,04:00:00,7
2016-11-27 05:00:00,1083,3,NB_OS,1,North,17.0,0,,18775,0,1,16,0,0,0,0.0,0,2016-11-27,05:00:00,7
2016-11-27 06:00:00,1083,3,NB_OS,1,North,65.0,0,,18205,0,0,65,0,0,0,0.0,0,2016-11-27,06:00:00,7
2016-11-27 07:00:00,1083,3,NB_OS,1,North,76.0,0,,18575,26,2,72,0,2,0,0.0,0,2016-11-27,07:00:00,7
2016-11-27 08:00:00,1083,3,NB_OS,1,North,160.0,0,,17826,19,1,156,0,3,0,0.0,0,2016-11-27,08:00:00,7
2016-11-27 09:00:00,1083,3,NB_OS,1,North,323.0,0,,17224,6,0,321,0,2,0,0.0,0,2016-11-27,09:00:00,7
2016-11-27 10:00:00,1083,3,NB_OS,1,North,494.0,0,,16529,8,0,489,1,4,0,0.0,0,2016-11-27,10:00:00,7
2016-11-27 11:00:00,1083,3,NB_OS,1,North,584.0,0,,16512,9,4,575,0,5,0,0.0,0,2016-11-27,11:00:00,7
2016-11-27 12:00:00,1083,3,NB_OS,1,North,684.0,0,,15586,10,2,674,1,7,0,0.0,0,2016-11-27,12:00:00,7
2016-11-27 13:00:00,1083,3,NB_OS,1,North,529.0,0,,14682,19,1,780,0,13,2,0.0,0,2016-11-27,13:00:00,7
2016-11-27 14:00:00,1083,3,NB_OS,1,North,510.0,0,,13237,7,0,942,0,7,0,2.0,0,2016-11-27,14:00:00,7
2016-11-27 15:00:00,1083,3,NB_OS,1,North,567.5,0,,10969,21,5,1098,0,21,3,3.0,0,2016-11-27,15:00:00,7
2016-11-27 16:00:00,1083,3,NB_OS,1,North,516.0,0,,16161,27,2,500,0,14,0,0.0,1,2016-11-27,16:00:00,7
2016-11-27 17:00:00,1083,3,NB_OS,1,North,423.0,0,,16472,9,2,417,0,4,0,0.0,0,2016-11-27,17:00:00,7
2016-11-27 18:00:00,1083,3,NB_OS,1,North,349.0,0,,16410,3,1,347,0,1,0,0.0,0,2016-11-27,18:00:00,7
2016-11-27 19:00:00,1083,3,NB_OS,1,North,280.0,0,,16410,21,1,273,0,6,0,0.0,0,2016-11-27,19:00:00,7
2016-11-27 20:00:00,1083,3,NB_OS,1,North,214.0,0,,17414,5,2,211,0,1,0,0.0,0,2016-11-27,20:00:00,7
2016-11-27 21:00:00,1083,3,NB_OS,1,North,123.0,0,,17507,24,0,120,0,3,0,0.0,0,2016-11-27,21:00:00,7
2016-11-27 22:00:00,1083,3,NB_OS,1,North,90.0,0,,17877,22,0,88,0,2,0,0.0,0,2016-11-27,22:00:00,7
