Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,date,hours,weekday
2012-11-10 19:00:00,1083,3,NB_OS,1,North,320,0,,17971,6,2,316,0,2,0,0,2012-11-10,19:00:00,6
2012-11-10 20:00:00,1083,3,NB_OS,1,North,226,0,,18052,13,2,221,0,3,0,0,2012-11-10,20:00:00,6
2012-11-10 21:00:00,1083,3,NB_OS,1,North,168,0,,18393,12,1,165,0,2,0,0,2012-11-10,21:00:00,6
2012-11-10 22:00:00,1083,3,NB_OS,1,North,122,0,,18436,16,0,120,0,2,0,0,2012-11-10,22:00:00,6
2012-11-17 19:00:00,1083,3,NB_OS,1,North,326,0,,17744,9,2,321,0,3,0,0,2012-11-17,19:00:00,6
2012-11-17 20:00:00,1083,3,NB_OS,1,North,217,0,,18251,18,1,212,0,4,0,0,2012-11-17,20:00:00,6
2012-11-17 21:00:00,1083,3,NB_OS,1,North,157,0,,17893,0,1,156,0,0,0,0,2012-11-17,21:00:00,6
2012-11-17 22:00:00,1083,3,NB_OS,1,North,143,0,,17962,28,0,139,0,4,0,0,2012-11-17,22:00:00,6
2013-11-02 19:00:00,1083,3,NB_OS,1,North,313,0,,17339,13,1,307,0,4,0,1,2013-11-02,19:00:00,6
2013-11-02 20:00:00,1083,3,NB_OS,1,North,222,0,,17548,9,0,220,0,2,0,0,2013-11-02,20:00:00,6
2013-11-02 21:00:00,1083,3,NB_OS,1,North,197,0,,18078,15,0,192,0,3,0,2,2013-11-02,21:00:00,6
2013-11-02 22:00:00,1083,3,NB_OS,1,North,133,0,,18471,8,1,130,0,1,0,1,2013-11-02,22:00:00,6
2013-11-09 19:00:00,1083,3,NB_OS,1,North,311,0,,16851,23,0,304,0,7,0,0,2013-11-09,19:00:00,6
2013-11-09 20:00:00,1083,3,NB_OS,1,North,196,0,,17799,5,0,195,0,1,0,0,2013-11-09,20:00:00,6
2013-11-09 21:00:00,1083,3,NB_OS,1,North,166,0,,17786,6,2,163,0,1,0,0,2013-11-09,21:00:00,6
2013-11-09 22:00:00,1083,3,NB_OS,1,North,128,0,,18459,8,0,127,0,1,0,0,2013-11-09,22:00:00,6
2013-11-16 19:00:00,1083,3,NB_OS,1,North,301,0,,17713,17,1,295,0,5,0,0,2013-11-16,19:00:00,6
2013-11-16 20:00:00,1083,3,NB_OS,1,North,200,0,,17889,5,0,199,0,1,0,0,2013-11-16,20:00:00,6
2013-11-16 21:00:00,1083,3,NB_OS,1,North,147,0,,18320,34,2,140,0,5,0,0,2013-11-16,21:00:00,6
2013-11-16 22:00:00,1083,3,NB_OS,1,North,124,0,,18224,8,0,123,0,1,0,0,2013-11-16,22:00:00,6
2015-11-21 19:00:00,"=""000000001083""",3,NB_OS,1,North,345,0,,17469,9,1,341,0,3,0,0,2015-11-21,19:00:00,6
2015-11-21 20:00:00,"=""000000001083""",3,NB_OS,1,North,219,0,,17747,5,1,217,0,1,0,0,2015-11-21,20:00:00,6
2015-11-21 21:00:00,"=""000000001083""",3,NB_OS,1,North,150,0,,17976,13,1,147,0,2,0,0,2015-11-21,21:00:00,6
2015-11-21 22:00:00,"=""000000001083""",3,NB_OS,1,North,144,0,,18277,21,0,141,0,3,0,0,2015-11-21,22:00:00,6
2015-11-28 19:00:00,"=""000000001083""",3,NB_OS,1,North,312,0,,17314,10,0,309,0,3,0,0,2015-11-28,19:00:00,6
2015-11-28 20:00:00,"=""000000001083""",3,NB_OS,1,North,245,0,,17485,8,0,243,0,1,1,0,2015-11-28,20:00:00,6
2015-11-28 21:00:00,"=""000000001083""",3,NB_OS,1,North,186,0,,17748,5,4,181,0,1,0,0,2015-11-28,21:00:00,6
2015-11-28 22:00:00,"=""000000001083""",3,NB_OS,1,North,149,0,,17905,0,0,149,0,0,0,0,2015-11-28,22:00:00,6
2017-12-30 19:00:00,1083,3,NB_OS,1,North,247,0,,16342,12,0,244,0,3,0,0,2017-12-30,19:00:00,6
2017-12-30 20:00:00,1083,3,NB_OS,1,North,211,0,,15875,0,0,211,0,0,0,0,2017-12-30,20:00:00,6
2017-12-30 21:00:00,1083,3,NB_OS,1,North,134,0,,17032,7,1,132,0,1,0,0,2017-12-30,21:00:00,6
2017-12-30 22:00:00,1083,3,NB_OS,1,North,122,0,,16382,16,0,120,0,2,0,0,2017-12-30,22:00:00,6
