Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume
2015-11-01 00:00:00,1083,1,NB_NS,1,North,142,0,,16270,7,2,138,0,1,0,1.0
2015-11-01 00:00:00,1083,2,NB_MID,1,North,208,0,,17938,5,1,206,0,1,0,0.0
2015-11-01 00:00:00,1083,3,NB_OS,1,North,93,0,,18408,11,0,92,0,1,0,0.0
2015-11-01 00:00:00,1083,4,SB_OS,2,South,95,0,,19155,0,5,90,0,0,0,0.0
2015-11-01 00:00:00,1083,5,SB_MID,2,South,225,0,,18549,4,2,222,0,1,0,0.0
2015-11-01 00:00:00,1083,6,SB_NS,2,South,198,0,,17542,15,1,194,0,3,0,0.0
2015-11-01 01:00:00,1083,1,NB_NS,1,North,110,0,,17207,9,1,106,0,1,0,2.0
2015-11-01 01:00:00,1083,2,NB_MID,1,North,177,0,,18362,0,3,174,0,0,0,0.0
2015-11-01 01:00:00,1083,3,NB_OS,1,North,61,0,,18939,0,0,61,0,0,0,0.0
2015-11-01 01:00:00,1083,4,SB_OS,2,South,73,0,,18314,0,5,68,0,0,0,0.0
2015-11-01 01:00:00,1083,5,SB_MID,2,South,178,0,,18997,0,3,175,0,0,0,0.0
2015-11-01 01:00:00,1083,6,SB_NS,2,South,173,0,,17513,29,0,167,0,3,2,1.0
2015-11-01 02:00:00,1083,1,NB_NS,1,North,83,0,,17865,0,3,78,0,0,0,2.0
2015-11-01 02:00:00,1083,2,NB_MID,1,North,162,0,,18265,12,1,158,0,2,0,1.0
2015-11-01 02:00:00,1083,3,NB_OS,1,North,33,0,,20109,0,1,32,0,0,0,0.0
2015-11-01 02:00:00,1083,4,SB_OS,2,South,57,0,,19410,18,0,56,0,1,0,0.0
2015-11-01 02:00:00,1083,5,SB_MID,2,South,160,0,,19380,0,2,158,0,0,0,0.0
2015-11-01 02:00:00,1083,6,SB_NS,2,South,159,0,,18450,13,3,151,0,2,0,3.0
2015-11-01 03:00:00,1083,1,NB_NS,1,North,68,0,,17345,15,0,67,0,0,1,0.0
2015-11-01 03:00:00,1083,2,NB_MID,1,North,157,0,,18834,0,1,156,0,0,0,0.0
2015-11-01 03:00:00,1083,3,NB_OS,1,North,47,0,,19184,0,0,47,0,0,0,0.0
2015-11-01 03:00:00,1083,4,SB_OS,2,South,40,0,,19868,0,2,38,0,0,0,0.0
2015-11-01 03:00:00,1083,5,SB_MID,2,South,150,0,,19250,0,1,149,0,0,0,0.0
2015-11-01 03:00:00,1083,6,SB_NS,2,South,128,0,,18637,16,0,125,0,2,0,1.0
2015-11-01 04:00:00,1083,1,NB_NS,1,North,76,0,,18125,26,2,72,0,2,0,0.0
2015-11-01 04:00:00,1083,2,NB_MID,1,North,126,0,,19193,24,1,122,0,3,0,0.0
2015-11-01 04:00:00,1083,3,NB_OS,1,North,22,0,,20088,0,0,22,0,0,0,0.0
2015-11-01 04:00:00,1083,4,SB_OS,2,South,32,0,,20877,0,1,31,0,0,0,0.0
2015-11-01 04:00:00,1083,5,SB_MID,2,South,110,0,,19821,0,0,110,0,0,0,0.0
2015-11-01 04:00:00,1083,6,SB_NS,2,South,102,0,,18382,20,0,99,1,1,1,0.0
2015-11-01 05:00:00,1083,1,NB_NS,1,North,69,0,,17198,14,0,68,0,1,0,0.0
2015-11-01 05:00:00,1083,2,NB_MID,1,North,97,0,,17995,21,0,95,0,0,2,0.0
2015-11-01 05:00:00,1083,3,NB_OS,1,North,30,0,,18593,33,0,29,0,1,0,0.0
2015-11-01 05:00:00,1083,4,SB_OS,2,South,25,0,,19356,0,1,24,0,0,0,0.0
