Sdate,Volume,AvgSpeed,class
2012-11-04 20:00:00,195,181.87,0
2012-11-11 20:00:00,169,179.91,0
2012-11-18 20:00:00,185,184.43,0
2012-11-25 20:00:00,189,177.9,0
2012-12-02 20:00:00,182,182.8,0
2012-12-09 20:00:00,180,183.35,0
2012-12-30 20:00:00,186,182.64,0
2013-11-03 20:00:00,192,179.08,0
2013-11-10 20:00:00,206,178.86,0
2013-11-17 20:00:00,186,177.15,0
2013-11-24 20:00:00,166,177.31,0
2013-12-01 20:00:00,181,181.4,0
2013-12-08 20:00:00,166,181.84,0
2013-12-15 20:00:00,178,176.75,0
2013-12-22 20:00:00,170,172.35,0
2013-12-29 20:00:00,154,179.94,0
2014-11-30 20:00:00,194,174.71,0
2015-11-01 20:00:00,201,174.17,0
2015-11-08 20:00:00,208,173.68,0
2015-11-15 20:00:00,183,181.0,0
2015-11-22 20:00:00,185,177.33,0
2015-11-29 20:00:00,219,174.94,0
2015-12-06 20:00:00,205,172.34,0
2015-12-13 20:00:00,164,174.29,0
2015-12-20 20:00:00,212,174.02,0
2015-12-27 20:00:00,206,172.65,0
2016-11-06 20:00:00,187,174.63,0
2016-11-13 20:00:00,182,172.27,0
2016-11-20 20:00:00,169,175.79,0
2016-11-27 20:00:00,214,174.14,0
2016-12-04 20:00:00,184,172.96,0
2016-12-11 20:00:00,189,174.81,0
2016-12-18 20:00:00,221,176.33,0
2016-12-25 20:00:00,179,175.25,0
2017-11-05 20:00:00,227,161.58,0
2017-11-12 20:00:00,170,163.38,0
2017-11-19 20:00:00,189,164.08,0
2017-11-26 20:00:00,180,164.11,0
2017-12-03 20:00:00,196,159.5,0
2017-12-10 20:00:00,201,165.12,0
2017-12-17 20:00:00,212,158.36,0
2017-12-24 20:00:00,156,164.33,0
2017-12-31 20:00:00,234,162.68,0
