Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,date,hours,weekday,class
2012-11-04 19:00:00,1083,3,NB_OS,1,North,235,0,,17540,4,1,233,0,1,0,0,2012-11-04,19:00:00,7,0
2012-11-11 19:00:00,1083,3,NB_OS,1,North,295,0,,17653,3,2,292,0,1,0,0,2012-11-11,19:00:00,7,0
2012-11-18 19:00:00,1083,3,NB_OS,1,North,246,0,,18240,4,2,243,0,1,0,0,2012-11-18,19:00:00,7,0
2012-11-25 19:00:00,1083,3,NB_OS,1,North,244,0,,18063,12,3,238,0,3,0,0,2012-11-25,19:00:00,7,0
2012-12-02 19:00:00,1083,3,NB_OS,1,North,231,0,,18046,13,0,228,0,3,0,0,2012-12-02,19:00:00,7,0
2012-12-09 19:00:00,1083,3,NB_OS,1,North,225,0,,18015,0,0,225,0,0,0,0,2012-12-09,19:00:00,7,0
2012-12-30 19:00:00,1083,3,NB_OS,1,North,139,0,,17814,0,1,138,0,0,0,0,2012-12-30,19:00:00,7,0
2013-11-03 19:00:00,1083,3,NB_OS,1,North,284,0,,17340,14,1,278,0,4,0,1,2013-11-03,19:00:00,7,0
2013-11-10 19:00:00,1083,3,NB_OS,1,North,296,0,,16601,7,2,292,0,2,0,0,2013-11-10,19:00:00,7,0
2013-11-17 19:00:00,1083,3,NB_OS,1,North,248,0,,17524,4,1,245,1,1,0,0,2013-11-17,19:00:00,7,0
2013-11-24 19:00:00,1083,3,NB_OS,1,North,235,0,,17852,9,1,232,0,2,0,0,2013-11-24,19:00:00,7,0
2013-12-01 19:00:00,1083,3,NB_OS,1,North,252,0,,17713,4,1,250,0,1,0,0,2013-12-01,19:00:00,7,0
2013-12-08 19:00:00,1083,3,NB_OS,1,North,230,0,,17888,17,0,226,0,4,0,0,2013-12-08,19:00:00,7,0
2013-12-15 19:00:00,1083,3,NB_OS,1,North,230,0,,17483,17,1,225,0,4,0,0,2013-12-15,19:00:00,7,0
2013-12-22 19:00:00,1083,3,NB_OS,1,North,226,0,,17936,9,3,221,0,2,0,0,2013-12-22,19:00:00,7,0
2013-12-29 19:00:00,1083,3,NB_OS,1,North,236,0,,17579,13,2,231,0,3,0,0,2013-12-29,19:00:00,7,0
2014-11-30 19:00:00,1083,3,NB_OS,1,North,257,0,,17485,4,2,254,0,1,0,0,2014-11-30,19:00:00,7,0
2015-11-01 19:00:00,"=""000000001083""",3,NB_OS,1,North,256,0,,17374,8,0,254,0,2,0,0,2015-11-01,19:00:00,7,0
2015-11-08 19:00:00,"=""000000001083""",3,NB_OS,1,North,241,0,,17054,4,0,240,0,1,0,0,2015-11-08,19:00:00,7,0
2015-11-15 19:00:00,"=""000000001083""",3,NB_OS,1,North,271,0,,17338,7,0,269,0,2,0,0,2015-11-15,19:00:00,7,0
2015-11-22 19:00:00,"=""000000001083""",3,NB_OS,1,North,260,0,,17695,8,2,256,0,2,0,0,2015-11-22,19:00:00,7,0
2015-11-29 19:00:00,"=""000000001083""",3,NB_OS,1,North,230,0,,17612,4,2,227,0,1,0,0,2015-11-29,19:00:00,7,0
2015-12-06 19:00:00,"=""000000001083""",3,NB_OS,1,North,268,0,,17733,19,0,263,0,5,0,0,2015-12-06,19:00:00,7,0
2015-12-13 19:00:00,"=""000000001083""",3,NB_OS,1,North,257,0,,17376,12,0,254,0,3,0,0,2015-12-13,19:00:00,7,0
2015-12-20 19:00:00,"=""000000001083""",3,NB_OS,1,North,251,0,,18155,16,2,245,0,4,0,0,2015-12-20,19:00:00,7,0
2015-12-27 19:00:00,"=""000000001083""",3,NB_OS,1,North,220,0,,16939,0,0,219,1,0,0,0,2015-12-27,19:00:00,7,0
2016-11-06 19:00:00,"=""000000001083""",3,NB_OS,1,North,285,0,,17244,11,2,280,0,3,0,0,2016-11-06,19:00:00,7,0
2016-11-13 19:00:00,"=""000000001083""",3,NB_OS,1,North,249,0,,17025,0,0,249,0,0,0,0,2016-11-13,19:00:00,7,0
2016-11-20 19:00:00,"=""000000001083""",3,NB_OS,1,North,254,0,,17515,24,2,246,0,6,0,0,2016-11-20,19:00:00,7,0
2016-11-27 19:00:00,"=""000000001083""",3,NB_OS,1,North,280,0,,16410,21,1,273,0,6,0,0,2016-11-27,19:00:00,7,0
2016-12-04 19:00:00,"=""000000001083""",3,NB_OS,1,North,268,0,,17404,4,1,266,0,1,0,0,2016-12-04,19:00:00,7,0
2016-12-11 19:00:00,"=""000000001083""",3,NB_OS,1,North,266,0,,17229,8,0,264,0,2,0,0,2016-12-11,19:00:00,7,0
2016-12-18 19:00:00,"=""000000001083""",3,NB_OS,1,North,253,0,,17256,4,3,249,0,1,0,0,2016-12-18,19:00:00,7,0
2016-12-25 19:00:00,"=""000000001083""",3,NB_OS,1,North,180,0,,17613,11,0,178,0,2,0,0,2016-12-25,19:00:00,7,0
2017-11-05 19:00:00,1083,3,NB_OS,1,North,259,0,,15864,12,0,256,0,3,0,0,2017-11-05,19:00:00,7,0
2017-11-12 19:00:00,1083,3,NB_OS,1,North,235,0,,16510,13,0,231,1,3,0,0,2017-11-12,19:00:00,7,0
2017-11-19 19:00:00,1083,3,NB_OS,1,North,287,0,,16150,7,1,284,0,2,0,0,2017-11-19,19:00:00,7,0
2017-11-26 19:00:00,1083,3,NB_OS,1,North,192,0,,16095,10,0,190,0,2,0,0,2017-11-26,19:00:00,7,0
2017-12-03 19:00:00,1083,3,NB_OS,1,North,279,0,,16271,0,0,278,1,0,0,0,2017-12-03,19:00:00,7,0
2017-12-10 19:00:00,1083,3,NB_OS,1,North,268,0,,15256,7,0,266,0,2,0,0,2017-12-10,19:00:00,7,0
2017-12-17 19:00:00,1083,3,NB_OS,1,North,267,0,,16217,11,1,263,0,3,0,0,2017-12-17,19:00:00,7,0
2017-12-24 19:00:00,1083,3,NB_OS,1,North,186,0,,17239,5,0,185,0,1,0,0,2017-12-24,19:00:00,7,0
2017-12-31 19:00:00,1083,3,NB_OS,1,North,271,0,,16416,0,3,268,0,0,0,0,2017-12-31,19:00:00,7,0
