Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,date,hours,weekday
2012-11-01 00:00:00,1083,1,NB_NS,1,North,50,0,,17711,20,0,49,0,1,0,0.0,2012-11-01,00:00:00,4
2012-11-01 00:00:00,1083,2,NB_MID,1,North,94,0,,18227,32,0,91,0,2,1,0.0,2012-11-01,00:00:00,4
2012-11-01 00:00:00,1083,3,NB_OS,1,North,26,0,,18526,0,1,25,0,0,0,0.0,2012-11-01,00:00:00,4
2012-11-01 00:00:00,1083,4,SB_OS,2,South,45,0,,19518,0,0,45,0,0,0,0.0,2012-11-01,00:00:00,4
2012-11-01 00:00:00,1083,5,SB_MID,2,South,102,0,,18382,10,5,96,0,1,0,0.0,2012-11-01,00:00:00,4
2012-11-01 00:00:00,1083,6,SB_NS,2,South,88,0,,17153,45,0,83,0,1,3,1.0,2012-11-01,00:00:00,4
2012-11-01 01:00:00,1083,1,NB_NS,1,North,39,0,,18234,103,0,35,0,4,0,0.0,2012-11-01,01:00:00,4
2012-11-01 01:00:00,1083,2,NB_MID,1,North,56,0,,18289,36,0,54,0,1,1,0.0,2012-11-01,01:00:00,4
2012-11-01 01:00:00,1083,3,NB_OS,1,North,13,0,,19530,0,0,13,0,0,0,0.0,2012-11-01,01:00:00,4
2012-11-01 01:00:00,1083,4,SB_OS,2,South,16,0,,18576,62,0,15,0,1,0,0.0,2012-11-01,01:00:00,4
2012-11-01 01:00:00,1083,5,SB_MID,2,South,58,0,,18702,0,3,55,0,0,0,0.0,2012-11-01,01:00:00,4
2012-11-01 01:00:00,1083,6,SB_NS,2,South,61,0,,17450,16,1,59,0,1,0,0.0,2012-11-01,01:00:00,4
2012-11-01 02:00:00,1083,1,NB_NS,1,North,35,0,,17143,229,0,26,0,4,4,1.0,2012-11-01,02:00:00,4
2012-11-01 02:00:00,1083,2,NB_MID,1,North,59,0,,18588,68,0,55,0,2,2,0.0,2012-11-01,02:00:00,4
2012-11-01 02:00:00,1083,3,NB_OS,1,North,6,0,,16389,0,0,6,0,0,0,0.0,2012-11-01,02:00:00,4
2012-11-01 02:00:00,1083,4,SB_OS,2,South,14,0,,18294,71,0,13,0,1,0,0.0,2012-11-01,02:00:00,4
2012-11-01 02:00:00,1083,5,SB_MID,2,South,52,0,,18830,38,3,47,0,2,0,0.0,2012-11-01,02:00:00,4
2012-11-01 02:00:00,1083,6,SB_NS,2,South,54,0,,18287,56,1,50,0,2,1,0.0,2012-11-01,02:00:00,4
2012-11-01 03:00:00,1083,1,NB_NS,1,North,26,0,,17564,77,1,23,0,2,0,0.0,2012-11-01,03:00:00,4
2012-11-01 03:00:00,1083,2,NB_MID,1,North,49,0,,18753,61,0,45,0,3,0,1.0,2012-11-01,03:00:00,4
2012-11-01 03:00:00,1083,3,NB_OS,1,North,13,0,,19081,0,0,13,0,0,0,0.0,2012-11-01,03:00:00,4
2012-11-01 03:00:00,1083,4,SB_OS,2,South,22,0,,19053,0,2,20,0,0,0,0.0,2012-11-01,03:00:00,4
2012-11-01 03:00:00,1083,5,SB_MID,2,South,59,0,,19845,51,4,51,1,2,1,0.0,2012-11-01,03:00:00,4
2012-11-01 03:00:00,1083,6,SB_NS,2,South,45,0,,18056,67,0,41,1,1,2,0.0,2012-11-01,03:00:00,4
2012-11-01 04:00:00,1083,1,NB_NS,1,North,51,0,,17424,59,1,47,0,3,0,0.0,2012-11-01,04:00:00,4
2012-11-01 04:00:00,1083,2,NB_MID,1,North,58,0,,18309,52,0,55,0,3,0,0.0,2012-11-01,04:00:00,4
2012-11-01 04:00:00,1083,3,NB_OS,1,North,6,0,,18611,167,0,5,0,1,0,0.0,2012-11-01,04:00:00,4
2012-11-01 04:00:00,1083,4,SB_OS,2,South,12,0,,17153,83,0,11,0,1,0,0.0,2012-11-01,04:00:00,4
2012-11-01 04:00:00,1083,5,SB_MID,2,South,52,0,,19022,19,2,49,0,1,0,0.0,2012-11-01,04:00:00,4
2012-11-01 04:00:00,1083,6,SB_NS,2,South,49,0,,18095,61,0,45,0,3,0,1.0,2012-11-01,04:00:00,4
2012-11-01 05:00:00,1083,1,NB_NS,1,North,124,0,,17081,65,2,113,0,7,1,1.0,2012-11-01,05:00:00,4
2012-11-01 05:00:00,1083,2,NB_MID,1,North,114,0,,18492,70,1,105,0,5,3,0.0,2012-11-01,05:00:00,4
2012-11-01 05:00:00,1083,3,NB_OS,1,North,42,0,,18466,24,0,41,0,1,0,0.0,2012-11-01,05:00:00,4
2012-11-01 05:00:00,1083,4,SB_OS,2,South,42,0,,17870,48,1,38,0,2,0,1.0,2012-11-01,05:00:00,4
2012-11-01 05:00:00,1083,5,SB_MID,2,South,83,0,,18635,12,4,77,0,1,0,1.0,2012-11-01,05:00:00,4
2012-11-01 05:00:00,1083,6,SB_NS,2,South,105,0,,18230,86,2,94,0,9,0,0.0,2012-11-01,05:00:00,4
2012-11-01 06:00:00,1083,1,NB_NS,1,North,251,0,,15722,88,5,213,1,21,1,10.0,2012-11-01,06:00:00,4
2012-11-01 06:00:00,1083,2,NB_MID,1,North,366,0,,17191,68,2,339,0,23,2,0.0,2012-11-01,06:00:00,4
2012-11-01 06:00:00,1083,3,NB_OS,1,North,325,0,,17416,31,0,314,1,9,1,0.0,2012-11-01,06:00:00,4
2012-11-01 06:00:00,1083,4,SB_OS,2,South,209,0,,18569,19,6,198,1,4,0,0.0,2012-11-01,06:00:00,4
2012-11-01 06:00:00,1083,5,SB_MID,2,South,229,0,,18183,57,13,202,0,12,1,1.0,2012-11-01,06:00:00,4
2012-11-01 06:00:00,1083,6,SB_NS,2,South,268,0,,17170,63,4,242,1,14,3,4.0,2012-11-01,06:00:00,4
2012-11-01 07:00:00,1083,1,NB_NS,1,North,674,0,,14147,56,5,617,1,32,6,13.0,2012-11-01,07:00:00,4
2012-11-01 07:00:00,1083,2,NB_MID,1,North,1152,0,,13572,28,6,1113,1,29,3,0.0,2012-11-01,07:00:00,4
2012-11-01 07:00:00,1083,3,NB_OS,1,North,1213,0,,14248,17,1,1188,2,20,1,1.0,2012-11-01,07:00:00,4
2012-11-01 07:00:00,1083,4,SB_OS,2,South,560,0,,17470,23,4,542,1,12,1,0.0,2012-11-01,07:00:00,4
2012-11-01 07:00:00,1083,5,SB_MID,2,South,529,0,,17268,32,24,488,0,17,0,0.0,2012-11-01,07:00:00,4
2012-11-01 07:00:00,1083,6,SB_NS,2,South,661,0,,16973,56,9,600,2,33,4,13.0,2012-11-01,07:00:00,4
2012-11-01 08:00:00,1083,1,NB_NS,1,North,718,0,,14092,52,10,656,2,36,1,13.0,2012-11-01,08:00:00,4
2012-11-01 08:00:00,1083,2,NB_MID,1,North,1121,0,,13728,34,9,1067,6,36,2,1.0,2012-11-01,08:00:00,4
2012-11-01 08:00:00,1083,3,NB_OS,1,North,1155,0,,14023,20,3,1124,4,21,2,0.0,2012-11-01,08:00:00,4
2012-11-01 08:00:00,1083,4,SB_OS,2,South,620,0,,17348,19,7,601,0,12,0,0.0,2012-11-01,08:00:00,4
2012-11-01 08:00:00,1083,5,SB_MID,2,South,595,0,,16825,29,14,562,2,17,0,0.0,2012-11-01,08:00:00,4
2012-11-01 08:00:00,1083,6,SB_NS,2,South,766,0,,16276,63,10,696,1,42,6,11.0,2012-11-01,08:00:00,4
2012-11-01 09:00:00,1083,1,NB_NS,1,North,494,0,,14499,81,4,439,1,37,3,10.0,2012-11-01,09:00:00,4
2012-11-01 09:00:00,1083,2,NB_MID,1,North,779,0,,15717,56,7,726,2,36,8,0.0,2012-11-01,09:00:00,4
2012-11-01 09:00:00,1083,3,NB_OS,1,North,752,0,,16509,20,5,730,2,15,0,0.0,2012-11-01,09:00:00,4
2012-11-01 09:00:00,1083,4,SB_OS,2,South,418,0,,17496,33,7,397,0,14,0,0.0,2012-11-01,09:00:00,4
2012-11-01 09:00:00,1083,5,SB_MID,2,South,495,0,,17130,53,16,451,2,25,1,0.0,2012-11-01,09:00:00,4
2012-11-01 09:00:00,1083,6,SB_NS,2,South,565,0,,16231,83,8,493,4,42,5,13.0,2012-11-01,09:00:00,4
2012-11-01 10:00:00,1083,1,NB_NS,1,North,471,0,,14404,74,4,423,1,32,3,8.0,2012-11-01,10:00:00,4
2012-11-01 10:00:00,1083,2,NB_MID,1,North,651,0,,15868,68,4,601,2,38,6,0.0,2012-11-01,10:00:00,4
2012-11-01 10:00:00,1083,3,NB_OS,1,North,537,0,,17036,43,2,512,0,23,0,0.0,2012-11-01,10:00:00,4
